Neuromorphic SCA: EONS Training
Loading dataset from ../ATMEGA-AES-ASCAD_databases/ascad_modulated.h5...
Dataset loaded! Traces: 6000, Length: 700
Initializing engine...

>>> SUCCESS: 4 checkpoints found! Injecting seeds...

Generation 69 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 70 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 71 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 72 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 73 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 74 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 75 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 76 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 77 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 78 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 79 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 80 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
Generation 81 | Best Fitness: 0.509999 | Neurons (hidden): 34 | Synapses: 46
